impl,mode,bytes,proc_ms,io_ms,VmRSS_KiB,alpha,align,misalign
cuda,lower,4096,134.187,0.155399,98436,50,32,7
serial,upper,4096,0.017,0.065,3228,60,32,0
cuda,upper,4096,131.628,0.154356,98284,60,32,0
serial,lower,4096,0.011,0.079,3384,60,32,0
cuda,lower,4096,132.542,0.145099,98516,60,32,0
serial,upper,4096,0.017,0.065,3320,60,32,7
cuda,upper,4096,132.57,0.154345,98612,60,32,7
serial,lower,4096,0.014,0.098,3288,60,32,7
cuda,lower,4096,137.456,0.160076,98216,60,32,7
serial,upper,4096,0.018,0.103,3336,70,32,0
cuda,upper,4096,133.731,0.15126,98536,70,32,0
serial,lower,4096,0.014,0.081,3372,70,32,0
cuda,lower,4096,132.356,0.157662,98644,70,32,0
serial,upper,4096,0.013,0.063,3384,70,32,7
cuda,upper,4096,130.317,0.147864,98664,70,32,7
serial,lower,4096,0.012,0.096,3156,70,32,7
cuda,lower,4096,132.745,0.494696,98608,70,32,7
serial,upper,4096,0.024,0.084,3172,80,32,0
cuda,upper,4096,132.878,0.146142,98228,80,32,0
serial,lower,4096,0.013,0.102,3408,80,32,0
cuda,lower,4096,132.512,0.19481,98560,80,32,0
serial,upper,4096,0.013,0.093,3416,80,32,7
cuda,upper,4096,130.624,0.165286,98424,80,32,7
serial,lower,4096,0.014,0.093,3320,80,32,7
cuda,lower,4096,132.003,0.148956,98484,80,32,7
serial,upper,4096,0.031,0.201,3404,90,32,0
cuda,upper,4096,129.242,0.145109,98456,90,32,0
serial,lower,4096,0.014,0.074,3020,90,32,0
cuda,lower,4096,136.431,0.153885,98500,90,32,0
serial,upper,4096,0.020,0.067,3368,90,32,7
cuda,upper,4096,131.35,0.152934,98636,90,32,7
serial,lower,4096,0.017,0.097,3412,90,32,7
cuda,lower,4096,130.62,0.147674,98568,90,32,7
serial,upper,8192,0.004,0.092,3540,0,32,0
cuda,upper,8192,132.554,0.160028,98580,0,32,0
serial,lower,8192,0.004,0.081,3548,0,32,0
cuda,lower,8192,132.332,0.16731,98476,0,32,0
serial,upper,8192,0.005,0.079,3320,0,32,7
cuda,upper,8192,136.546,0.157071,98332,0,32,7
serial,lower,8192,0.007,0.132,3516,0,32,7
cuda,lower,8192,133.862,0.165737,98260,0,32,7
serial,upper,8192,0.007,0.069,3400,10,32,0
cuda,upper,8192,132.026,0.175794,98532,10,32,0
serial,lower,8192,0.007,0.075,3420,10,32,0
cuda,lower,8192,137.897,0.156471,98548,10,32,0
serial,upper,8192,0.007,0.069,3512,10,32,7
cuda,upper,8192,130.735,0.185572,98752,10,32,7
serial,lower,8192,0.008,0.108,3292,10,32,7
cuda,lower,8192,132.949,0.15651,98652,10,32,7
serial,upper,8192,0.009,0.070,3384,20,32,0
cuda,upper,8192,137.977,0.16755,98408,20,32,0
serial,lower,8192,0.012,0.103,3140,20,32,0
cuda,lower,8192,132.429,0.157973,98456,20,32,0
serial,upper,8192,0.019,0.118,3548,20,32,7
cuda,upper,8192,131.054,0.154716,98412,20,32,7
serial,lower,8192,0.009,0.115,3548,20,32,7
cuda,lower,8192,129.95,0.192314,98604,20,32,7
serial,upper,8192,0.015,0.079,3264,30,32,0
cuda,upper,8192,134.136,0.166849,98216,30,32,0
serial,lower,8192,0.012,0.075,3028,30,32,0
cuda,lower,8192,131.325,0.177558,98628,30,32,0
serial,upper,8192,0.013,0.068,3368,30,32,7
cuda,upper,8192,131.811,0.175153,98368,30,32,7
serial,lower,8192,0.014,0.081,3324,30,32,7
cuda,lower,8192,134.046,0.161469,98168,30,32,7
serial,upper,8192,0.016,0.090,3420,40,32,0
cuda,upper,8192,139.093,0.168942,98384,40,32,0
serial,lower,8192,0.018,0.078,3376,40,32,0
cuda,lower,8192,142.285,0.181956,98316,40,32,0
serial,upper,8192,0.016,0.112,3544,40,32,7
cuda,upper,8192,141.432,0.179741,98004,40,32,7
serial,lower,8192,0.015,0.076,3120,40,32,7
cuda,lower,8192,135.782,0.165025,98544,40,32,7
serial,upper,8192,0.020,0.073,3324,50,32,0
cuda,upper,8192,131.223,0.158594,98480,50,32,0
serial,lower,8192,0.018,0.077,3360,50,32,0
cuda,lower,8192,131.081,0.158834,98848,50,32,0
serial,upper,8192,0.019,0.072,3212,50,32,7
cuda,upper,8192,133.736,0.319963,98220,50,32,7
serial,lower,8192,0.022,0.102,3548,50,32,7
cuda,lower,8192,140.394,0.157612,98168,50,32,7
serial,upper,8192,0.031,0.112,3420,60,32,0
cuda,upper,8192,132.603,0.184891,98460,60,32,0
serial,lower,8192,0.021,0.074,3520,60,32,0
cuda,lower,8192,132.124,0.1561,98640,60,32,0
serial,upper,8192,0.028,0.092,3256,60,32,7
cuda,upper,8192,133.883,0.164625,98560,60,32,7
serial,lower,8192,0.021,0.090,3356,60,32,7
cuda,lower,8192,133.16,0.172348,98276,60,32,7
serial,upper,8192,0.026,0.089,3544,70,32,0
cuda,upper,8192,131.026,0.182718,98216,70,32,0
serial,lower,8192,0.024,0.093,3548,70,32,0
cuda,lower,8192,134.989,0.159406,98584,70,32,0
serial,upper,8192,0.025,0.069,3300,70,32,7
cuda,upper,8192,134.831,0.186154,98228,70,32,7
serial,lower,8192,0.024,0.080,3496,70,32,7
cuda,lower,8192,133.632,0.162111,98676,70,32,7
serial,upper,8192,0.027,0.073,3548,80,32,0
cuda,upper,8192,133.031,0.183218,98476,80,32,0
serial,lower,8192,0.029,0.098,3548,80,32,0
cuda,lower,8192,132.622,0.162912,98584,80,32,0
serial,upper,8192,0.039,0.123,3420,80,32,7
cuda,upper,8192,132.319,0.158695,98328,80,32,7
serial,lower,8192,0.041,0.120,3288,80,32,7
cuda,lower,8192,134.054,0.173741,98324,80,32,7
serial,upper,8192,0.040,0.066,3468,90,32,0
cuda,upper,8192,135.407,0.177268,98612,90,32,0
serial,lower,8192,0.028,0.077,3256,90,32,0
cuda,lower,8192,131.405,0.170707,98632,90,32,0
serial,upper,8192,0.028,0.073,3548,90,32,7
cuda,upper,8192,132.527,0.174985,98660,90,32,7
serial,lower,8192,0.028,0.081,3516,90,32,7
cuda,lower,8192,132.163,0.158405,98388,90,32,7
serial,upper,16384,0.022,0.101,3420,0,32,0
cuda,upper,16384,133.32,0.196903,98572,0,32,0
serial,lower,16384,0.009,0.089,3388,0,32,0
cuda,lower,16384,133.392,0.190952,98168,0,32,0
serial,upper,16384,0.009,0.078,3420,0,32,7
cuda,upper,16384,130.22,0.184291,98704,0,32,7
serial,lower,16384,0.009,0.099,3172,0,32,7
cuda,lower,16384,132.361,0.188809,98428,0,32,7
serial,upper,16384,0.025,0.112,3500,10,32,0
cuda,upper,16384,134.715,0.201771,98760,10,32,0
serial,lower,16384,0.013,0.115,3284,10,32,0
cuda,lower,16384,133.336,0.183679,98568,10,32,0
